"","ID","Score","MG_Mean","TV_Mean","SE_Mean"
"314","4831",106,4,4,5
"315","4832",116,5,5,5
"316","4850",82,2.5,3,3.5
"317","4845",102,4,4,4.5
"318","4846",101,4.5,3.5,4.5
"319","4841",109,4,4.5,5
"320","4855",75,2.5,4,3.5
"321","4839",83,3.5,4,4
"322","4848",108,5,4,4.5
"323","4869",116,5,4,5
"324","4860",92,4,3.5,4.5
"325","4862",103,4.5,3.5,4.5
"326","4861",94,3.5,4,5
"327","4871",96,3.5,3.5,4.5
"328","4874",95,3.5,4,4.5
"329","4870",79,4,2.5,4
"330","4863",95,4.5,2.5,4
"331","4868",116,4,5,5
"332","4897",98,4,4.5,4
"333","4919",103,4.5,3.5,4.5
"334","4908",106,4.5,4,5
"335","4910",102,3.5,4.5,4.5
"336","4914",110,3.5,4.5,5
"337","4880",105,3,4,5
"338","4912",98,4.5,3.5,4
"339","4922",103,3.5,5,4.5
"340","4878",115,4.5,4.5,5
"341","4884",111,4.5,5,5
"342","4879",110,4,4,4.5
"343","4885",111,4.5,4,5
"344","4911",111,4.5,4.5,5
"345","4909",100,3.5,4.5,3.5
"346","4900",104,4.5,4,5
"347","4927",94,3.5,3.5,4
"348","4904",112,5,4.5,5
"349","4906",112,5,4,5
"350","4917",100,4,4.5,4
"351","4921",103,3.5,4,4
"352","4902",93,3.5,3.5,4.5
"353","4896",107,5,4,5
"354","4886",105,4,5,5
"355","4903",100,4,5,5
"356","4926",78,3,3,3
"357","4898",106,5,4.5,4
"358","4888",107,5,4.5,4
"359","4887",101,4,4,4.5
"360","4901",99,4.5,3.5,4.5
"361","4920",110,5,5,4.5
"362","4899",102,4,5,4.5
"363","4907",93,3,4,4
"364","4913",95,3,4,4.5
"365","4933",92,3.5,4.5,4
"366","4937",86,4,3.5,4
"367","4950",100,4,3.5,5
"368","4932",115,4.5,4.5,5
"369","4957",103,4,3.5,4.5
"370","4930",99,4.5,4,4
"371","4946",107,2.5,3.5,5
"372","4956",90,3,3,4.5
"373","4954",107,5,4,5
"374","4928",108,4.5,4,4.5
"375","4952",109,4,3.5,5
"376","4947",112,4,4,5
"377","4942",95,4,4.5,4
"378","4929",90,4.5,3,4
"379","4948",102,4,3.5,4.5
"380","4936",99,4,4,4
"381","4943",101,4,4,5
"382","4941",99,4,3,5
"383","4934",107,5,4,5
"384","4935",111,4.5,4,5
"385","4931",97,4,2.5,5
"386","4949",100,3.5,4,4
