"","Q1","Q2","Q3","Q4","Question","Response","score"
"165","4244","gorilla","blue","Male","Q29","Agree",4
"166","4244","gorilla","blue","Male","Q31","Strongly agree",5
"167","4244","gorilla","blue","Male","Q32","Agree",4
"168","4251","lizard","blue","Female","Q7","Agree",4
"169","4251","lizard","blue","Female","Q8","Not sure",3
"170","4251","lizard","blue","Female","Q9","Agree",4
"171","4251","lizard","blue","Female","Q10","Agree",4
"172","4251","lizard","blue","Female","Q14","Not sure",3
"173","4251","lizard","blue","Female","Q15","Agree",4
"174","4251","lizard","blue","Female","Q16","Agree",4
"175","4251","lizard","blue","Female","Q17","Not sure",3
"176","4261","seahorse","blue","Female","Q7","Agree",4
"177","4261","seahorse","blue","Female","Q8","Agree",4
"178","4261","seahorse","blue","Female","Q10","Strongly agree",5
"179","4261","seahorse","blue","Female","Q11","Agree",4
"180","4261","seahorse","blue","Female","Q12","Agree",4
"181","4261","seahorse","blue","Female","Q13","Strongly agree",5
"182","4261","seahorse","blue","Female","Q14","Agree",4
"183","4261","seahorse","blue","Female","Q15","Not sure",3
"184","4261","seahorse","blue","Female","Q16","Strongly agree",5
"185","4261","seahorse","blue","Female","Q17","Agree",4
"186","4261","seahorse","blue","Female","Q18","Agree",4
"187","4261","seahorse","blue","Female","Q19","Disagree",2
"188","4261","seahorse","blue","Female","Q20","Not sure",3
"189","4261","seahorse","blue","Female","Q21","Agree",4
"190","4261","seahorse","blue","Female","Q22","Agree",4
"191","4261","seahorse","blue","Female","Q23","Agree",4
"192","4261","seahorse","blue","Female","Q24","Strongly agree",5
"193","4261","seahorse","blue","Female","Q26","Strongly agree",5
"194","4261","seahorse","blue","Female","Q27","Strongly agree",5
"195","4261","seahorse","blue","Female","Q28","Agree",4
"196","4261","seahorse","blue","Female","Q29","Agree",4
"197","4261","seahorse","blue","Female","Q31","Agree",4
"198","4261","seahorse","blue","Female","Q32","Strongly agree",5
"199","4262","sealion","blue","Female","Q7","Agree",4
"200","4262","sealion","blue","Female","Q8","Not sure",3
"201","4262","sealion","blue","Female","Q9","Strongly agree",5
"202","4262","sealion","blue","Female","Q10","Strongly agree",5
"203","4262","sealion","blue","Female","Q11","Agree",4
"204","4262","sealion","blue","Female","Q12","Strongly agree",5
"205","4262","sealion","blue","Female","Q13","Strongly agree",5
"206","4262","sealion","blue","Female","Q14","Agree",4
"207","4262","sealion","blue","Female","Q15","Strongly agree",5
"208","4262","sealion","blue","Female","Q16","Not sure",3
"209","4262","sealion","blue","Female","Q17","Strongly agree",5
"210","4262","sealion","blue","Female","Q18","Agree",4
"211","4262","sealion","blue","Female","Q19","Not sure",3
"212","4262","sealion","blue","Female","Q20","Agree",4
"213","4262","sealion","blue","Female","Q21","Agree",4
"214","4262","sealion","blue","Female","Q22","Strongly agree",5
"215","4262","sealion","blue","Female","Q23","Strongly agree",5
"216","4262","sealion","blue","Female","Q24","Agree",4
"217","4262","sealion","blue","Female","Q26","Strongly agree",5
"218","4262","sealion","blue","Female","Q27","Strongly agree",5
"219","4262","sealion","blue","Female","Q28","Strongly agree",5
"220","4262","sealion","blue","Female","Q29","Strongly agree",5
"221","4262","sealion","blue","Female","Q31","Strongly agree",5
"222","4262","sealion","blue","Female","Q32","Strongly agree",5
"223","4250","lion","blue","Male","Q7","Strongly agree",5
"224","4250","lion","blue","Male","Q8","Agree",4
"225","4250","lion","blue","Male","Q9","Agree",4
"226","4250","lion","blue","Male","Q10","Strongly agree",5
"227","4250","lion","blue","Male","Q11","Strongly agree",5
"228","4250","lion","blue","Male","Q12","Strongly agree",5
"229","4250","lion","blue","Male","Q13","Strongly agree",5
"230","4250","lion","blue","Male","Q14","Strongly agree",5
"231","4250","lion","blue","Male","Q15","Not sure",3
"232","4250","lion","blue","Male","Q16","Agree",4
"233","4250","lion","blue","Male","Q17","Agree",4
"234","4250","lion","blue","Male","Q18","Agree",4
"235","4250","lion","blue","Male","Q19","Not sure",3
"236","4250","lion","blue","Male","Q20","Strongly agree",5
"237","4250","lion","blue","Male","Q21","Agree",4
"238","4250","lion","blue","Male","Q22","Agree",4
"239","4250","lion","blue","Male","Q23","Agree",4
"240","4250","lion","blue","Male","Q24","Strongly agree",5
"241","4250","lion","blue","Male","Q26","Strongly agree",5
"242","4250","lion","blue","Male","Q27","Strongly agree",5
