"","ID","Gender","Certificate","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15"
"337","4542","Female","IGCSE (British)","3: Somewhat true","4","4","5: Very true","5: Very true","5: Very true","4","5: Very true","5: Very true","4","5: Very true","4","4","4","3: Somewhat true"
"338","4645","Male","IGCSE (British)","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","4","5: Very true","4"
"339","4656","Female","IGCSE (British)","5: Very true","4","4","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","2","1: Not at all true","1: Not at all true","2","1: Not at all true","2","1: Not at all true","3: Somewhat true"
"340","4395","Male","IGCSE (British)","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","3: Somewhat true","5: Very true"
"341","4681","Male","IGCSE (British)","4","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","3: Somewhat true","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true"
"342","4414","Female","IGCSE (British)","5: Very true","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","2","2","1: Not at all true","2","3: Somewhat true","2","3: Somewhat true","2","3: Somewhat true"
"343","4508","Male","IGCSE (British)","5: Very true","3: Somewhat true","3: Somewhat true","2","5: Very true","4","2","2","2","4","2","2","4","2","5: Very true"
"344","4464","Male","IGCSE (British)","5: Very true","4","3: Somewhat true","3: Somewhat true","4","4","3: Somewhat true","5: Very true","3: Somewhat true","4","5: Very true","3: Somewhat true","5: Very true","4","2"
"345","4683","Male","IGCSE (British)","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true"
"346","4539","Female","IGCSE (British)","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","2","2","1: Not at all true","1: Not at all true","1: Not at all true","4","1: Not at all true","4","3: Somewhat true","5: Very true"
