"","...1","ID","Gender","Certificate","Age","Age_squared","Age.cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC..2.","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg.SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean","FMresid","FM_stdres","FMresid3","CB_stdres","CBresid","SS_stdres","PostScore_stdres","MG_S_stdres","SE_S_stdres","TV_stdres","MG_P_stdres","SE_P_stdres","PAV_stdres","PAp_stdres","PreScore_stdres","SS_stdres2"
"183",183,4558,"Male","IGCSE (British)",12.89,166.1521,2141.700569,5,5,81.48,77.34,42.86,0.17,-0.38,-0.01,0.08,-0.18,-0.55,-0.66,-0.42,0.27,-0.76,-0.3,-0.46,-0.19,0.76,162.97,0.81,1.23,7.62,-0.187852462402672,-0.200988275123053,-0.187852462402672,-0.614915804537921,-0.187852462402672,0.349940245467093,-1.35442345667864,-0.755533532909404,-0.255498317114038,-0.62485228609213,-0.00885729661561932,0.139579738064923,-0.710659054452971,-0.198616329739887,-0.832270839089059,0.357658151470514
"184",184,4760,"Female","National",12.03,144.7209,1740.992427,15,5,90.74,95.31,68.75,0.3,1.47,1.34,0.25,-0.5,-0.64,-0.55,-1.19,-0.67,-2,-1.28,-0.56,1.41,1.36,105,0.91,2.09,24.21,-0.578674943536941,-0.623094196844193,-0.578674943536941,-1.75526763993105,-0.578674943536941,-0.483141271378088,1.70444597348548,-0.596115172424274,-0.732475827524475,-0.741585105657274,0.148658832288797,0.269270568207789,1.64746291737989,1.42967731779306,-0.503848432584979,-0.480261297533375
"185",185,4760,"Female","National",12.03,144.7209,1740.992427,15,5,90.74,95.31,68.75,0.3,1.47,1.34,0.25,-0.5,-0.64,-0.55,-1.19,-0.67,-2,-1.28,-0.56,1.41,1.36,105,0.91,2.09,24.21,-0.578674943536941,-0.623094196844193,-0.578674943536941,-1.75526763993105,-0.578674943536941,-0.483141271378088,1.70444597348548,-0.596115172424274,-0.732475827524475,-0.741585105657274,0.148658832288797,0.269270568207789,1.64746291737989,1.42967731779306,-0.503848432584979,-0.480261297533375
"186",186,4761,"Male","American Diploma",13.07,170.8249,2232.681443,14,6,99.07,96.09,67.74,0.71,-0.08,-0.04,0.56,0.8,0.66,0.99,-0.04,-0.86,-0.13,-0.34,0.82,-0.06,1.7,58.03,0.99,1.35,9.59,0.105082421415211,0.112389941837433,0.105082421415211,0.00688614202069263,0.105082421415211,-0.801232822765399,1.06449233250764,1.34006244413992,1.17936196085951,0.918107149246513,0.802480913939048,0.979231122766504,-0.273875032411508,-0.201973871122975,-0.627552132573345,-0.794543425946477
"187",187,4816,"Male","IB",12.54,157.2516,1971.935064,4,6,74.07,70.31,37.5,-0.84,1.4,1.29,-0.42,1.34,0.96,1.28,1.46,0.83,-0.77,0.51,1.19,1.35,0.57,205.12,0.74,0.67,6.68,1.85880352659131,1.99236184378563,1.85880352659131,-0.561430596649396,1.85880352659131,0.954111363397916,-1.51092821959704,1.72447394693752,1.96780522341291,1.30257205932907,-0.878081587131381,-1.43398778880996,1.63727567158239,1.46355836164961,-0.424812818540174,0.961468578776839
"188",188,4886,"Female","IGCSE (British)",15.09,227.7081,3436.115229,13,8,89.81,99.22,75,0.41,-0.58,-0.42,0.31,-0.31,0.37,0.23,-0.63,-0.76,-2.05,-1.15,0.1,-0.5,1.43,119.41,0.9,1.71,27.56,-0.926823215422137,-0.995352792964919,-0.926823215422137,-2.41086653926208,-0.926823215422137,-0.95720051776363,0.0929984159219623,0.3241333133032,-0.430489502030536,0.549365870311797,0.680543369739629,0.687245168417655,-0.603340490991979,-0.299163792812373,-0.858414629471776,-0.972488301362917
"189",189,4907,"Male","IGCSE (British)",12.83,164.6089,2111.932187,8,5,100,92.97,59.38,-0.07,0.8,-0.31,-0.86,-0.58,-0.4,-0.72,-1.03,-0.76,-1.25,-1.01,-0.57,0.25,1.59,68.44,1,1.89,13.13,-0.768814992193696,-0.82274655513827,-0.768814992193696,-1.11382890475445,-0.768814992193696,-0.671682595661724,-0.506693354615981,-0.830548066418561,-0.841335703781741,-0.433561223035449,-1.55719425358443,-0.232155788102701,0.87458460693403,-0.610524816909406,-0.809359852032324,-0.664926457020696
"190",190,4382,"Female","IGCSE (British)",13.1,171.61,2248.091,7.5,5,79.63,76.56,62.5,-0.39,0.47,0.69,-0.18,-0.82,-0.85,-0.88,-0.55,-1.85,-0.12,-0.84,-0.85,0.58,4.87,137.1,0.8,1.28,8.83,-0.419331721440332,-0.448482554921016,-0.419331721440332,0.0116084549417628,-0.419331721440332,-1.79363013427686,-0.737277228170385,-1.04038220421387,-1.18988314563403,-1.00720054741426,-0.404917504191204,-0.699028631017874,0.474676629397619,0.776212758132566,-0.912494766355323,-1.78783933091362
"191",191,4382,"Female","IGCSE (British)",13.1,171.61,2248.091,7.5,5,79.63,76.56,62.5,-0.39,0.47,0.69,-0.18,-0.82,-0.85,-0.88,-0.55,-1.85,-0.12,-0.84,-0.85,0.58,4.87,137.1,0.8,1.28,8.83,-0.419331721440332,-0.448482554921016,-0.419331721440332,0.0116084549417628,-0.419331721440332,-1.79363013427686,-0.737277228170385,-1.04038220421387,-1.18988314563403,-1.00720054741426,-0.404917504191204,-0.699028631017874,0.474676629397619,0.776212758132566,-0.912494766355323,-1.78783933091362
"192",192,4382,"Female","IGCSE (British)",13.1,171.61,2248.091,7.5,5,79.63,76.56,60.87,-0.39,0.47,0.69,-0.18,-0.82,-0.85,-0.88,-0.55,-1.85,-0.2,-0.87,-0.85,0.58,4.87,137.1,0.8,1.28,8.83,-0.419331721440332,-0.448482554921016,-0.419331721440332,-0.0716123092959653,-0.419331721440332,-1.79363013427686,-0.737277228170385,-1.04038220421387,-1.18988314563403,-1.00720054741426,-0.404917504191204,-0.699028631017874,0.474676629397619,0.776212758132566,-0.912494766355323,-1.78783933091362
