"ID","Gender","Certificate","Age","Age_squared","Age-cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC (2)","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean"
4344,"Female","American Diploma",15.48,239.6304,3709.4785920000004,13.5,13.0,87.96,90.63,71.88,0.9,-0.3,-0.72,0.21,0.8,-0.22,-0.0,1.1,2.72,1.45,1.76,0.19,-0.51,0.42,244.04,0.88,0.94,6.78
4352,"Male","IGCSE (British)",14.72,216.6784,3189.506048,1.0,15.0,87.74,98.44,65.63,-0.21,0.57,0.09,0.11,1.5,1.8,1.79,-0.04,0.55,0.37,0.29,1.7,0.33,0.74,167.16,0.88,1.39,8.01
4373,"Female","IGCSE (British)",14.6,213.16,3112.136,14.0,13.0,75.93,97.66,68.75,-0.69,0.05,0.5,0.42,-0.27,0.34,0.61,2.67,-1.25,0.98,0.8,0.23,0.27,1.83,192.71,0.76,0.75,7.19
4448,"Female","IB",14.39,207.0721,2979.767519,16.0,15.0,94.44,99.22,70.0,0.28,-0.51,-0.01,0.15,0.26,0.54,0.1,0.62,1.07,0.2,0.63,0.3,-0.26,0.67,155.13,0.94,1.16,8.98
4494,"Female","IGCSE (British)",12.46,155.25160000000002,1934.4349360000003,2.0,13.0,92.59,99.22,68.75,0.65,0.73,1.25,0.31,0.32,-0.23,-0.0,-0.3,-0.36,-1.56,-0.74,0.03,0.99,1.16,87.88,0.93,1.52,17.87
4546,"Male","IGCSE (British)",12.73,162.05290000000002,2062.933417,10.5,15.0,78.7,80.47,65.63,-0.04,-0.29,-0.62,-0.16,-0.34,0.16,-0.19,0.78,0.3,0.3,0.46,-0.12,-0.46,0.73,219.09,0.79,0.9,8.17
4668,"Male","IGCSE (British)",13.41,179.8281,2411.4948210000002,15.0,15.0,90.65,96.09,50.0,-0.3,0.5,0.35,-0.32,-0.29,-0.19,-0.54,-0.81,0.4,-0.54,-0.32,-0.34,0.42,0.81,139.11,0.91,1.78,8.16
4668,"Male","IGCSE (British)",13.41,179.8281,2411.4948210000002,15.0,15.0,90.65,96.09,50.0,-0.3,0.5,0.35,-0.32,-0.29,-0.19,-0.54,-0.81,0.4,-0.54,-0.32,-0.34,0.42,0.81,139.11,0.91,1.78,8.16
4725,"Female","American Diploma",13.37,178.75689999999997,2389.9797529999996,12.5,13.0,92.59,98.44,65.63,0.75,-0.7,-1.04,0.56,1.12,1.15,1.3,-0.09,0.55,0.02,0.16,1.19,-0.87,0.78,126.58,0.93,1.41,8.88
4785,"Male","IB",15.02,225.60039999999998,3388.5180079999996,14.0,15.0,90.74,93.75,62.5,0.23,-0.71,-1.02,0.65,0.02,0.55,0.46,0.11,0.78,-0.04,0.29,0.35,-0.87,0.71,156.21,0.91,1.26,8.61
4795,"Male","IB",14.97,224.10090000000002,3354.7904730000005,15.0,15.0,91.92,91.34,71.43,-0.62,-0.18,-0.69,-0.82,-0.5,-0.55,-0.22,1.31,0.8,2.22,1.44,-0.42,-0.43,0.71,143.1,0.92,0.91,5.78
4862,"Female","IB",12.99,168.7401,2191.933899,13.5,12.0,90.74,97.66,68.75,0.51,-1.32,-1.32,-0.17,0.53,-0.37,0.11,0.06,0.05,-0.37,-0.09,0.09,-1.32,0.93,126.11,0.91,1.33,10.54
4869,"Male","IB",12.45,155.00249999999997,1929.7811249999995,16.0,15.0,97.22,98.44,71.88,0.41,-0.54,-0.23,0.12,1.1,0.76,1.12,-0.53,-1.18,-0.11,-0.61,0.99,-0.38,2.18,74.12,0.97,1.63,10.12
4897,"Male","IGCSE (British)",14.85,220.52249999999998,3274.7591249999996,15.0,15.0,98.15,98.44,66.67,-0.43,-1.28,-1.27,-0.14,-0.21,0.05,-0.48,0.53,-1.37,0.16,-0.23,-0.21,-1.27,2.69,42.63,0.98,1.18,8.64
4926,"Female","IGCSE (British)",14.62,213.74439999999998,3124.9431279999994,14.0,13.0,90.74,98.44,65.52,-1.02,0.02,0.04,-0.74,-1.24,-1.3,-1.07,1.28,0.69,0.24,0.73,-1.2,0.03,0.73,194.17,0.91,0.98,8.3
