"","ID","Gender.x","Certificate (2)","Age","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF","SE_P","PAV","PAp","MG_P","SE_S.x","TV.x","MG_S.x","PostScore.x","PreScore.x","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","PostScore.y","PreScore.y","SE_S.y","TV.y","MG_S.y","X.1","X.x","Gender.y","SelfEfficacy_P","PerfAvGoals","PerfAppGoals","MasteryGoals_P","Average.of.RTc","Average.of.EFF","Average.of.ACC","Per.Correct","Eff2","FM_ACC_mean","FM_EFF_mean","FM_RTc_mean","Per.ACC","EFF2","X.y","session_code","CB_ACC","CB_RTc_mean","PerCorrect","EFF"
"11","4243","Female","IGCSE (British)",13.423856576091,93.75,61.42,73.15,96.69,65.5172413793103,9.30392228621855,-0.260228376000509,0.206043902222,-0.119391770587057,-0.160427654832128,-0.735393077431667,-0.613879455993296,-0.729150182021214,12,14,-0.475906255260389,0.0383348908626533,0.867480404821686,0.14330301347465,-0.692807571815392,0.0433260658174715,11,13,-0.735393077431667,-0.613879455993296,-0.729150182021214,52,52,"Female",-0.138096436763386,0.288855292936579,-0.370803688751916,-0.0399634336990352,0.76,"153.79",0.73,73.15,"96.69",0.94,89.22,1.53,93.75,61.42,23,"wgMLC8LFDGeA",0.655172413793103,7.04189473684211,65.5172413793103,9.30392228621855
"12","4244","Male","IGCSE (British)",12.9581480649749,75.78,58.66,95.37,57.21,48.2758620689655,6.04014539492843,-0.298977332074948,0.75947971112071,0.122624189687549,-0.456117964645478,-0.717832968177611,-0.175788838431351,-0.536642658299147,7,6,-0.600605128208843,-0.887875138012752,-0.581265975112856,-0.68991541377815,-0.476754821636036,0.441051950404129,6.5,5,-0.717832968177611,-0.175788838431351,-0.536642658299147,28,28,"Male",-0.143765451074458,1.08998317014471,0.139224876365999,-0.349110390279939,1.67,"63.70",0.95,95.37,"57.21",0.76,121.91,1.29,75.78,58.66,24,"AWRoKZCNNSVc",0.482758620689655,7.9925,48.2758620689655,6.04014539492843
"13","4245","Female","IGCSE (British)",13.6072984504828,100,56.87,93.52,80.4,71.875,6.37231471380718,0.732107228194499,0.493655476139211,-0.174696921741065,0.544896459547589,0.149574581959463,-0.208099282339474,-0.10315610542393,11,15,-0.681478672621064,-0.343832317100375,-0.433820511075426,-0.486377166932288,-0.053893601934647,0.159479277199073,10,16,0.149574581959463,-0.208099282339474,-0.10315610542393,217,217,"Female",0.705227810261911,0.689929294491062,-0.516726343608092,0.585131951317978,1.16,"141.52",0.94,93.52,"80.40",1,73.91,1.76,100,56.87,25,"u4JINuGkjYZK",0.71875,11.2792608695652,71.875,6.37231471380718
"14","4247","Male","IGCSE (British)",13.0601092896175,96.09,59.58,96.3,94.73,62.5,6.1161181731889,0.637550147857094,-0.803047139560904,-1.09036653026755,0.121387817795499,0.906920510326873,0.0773868979615422,0.339085215915581,13,8.5,-0.559038837226025,-0.00764716730846598,-0.547542687294944,-0.371409563943145,0.441130874734665,-0.946706834914227,14,7,0.906920510326873,0.0773868979615422,0.339085215915581,24,24,"Male",0.671180674463288,-1.14287600558217,-1.44476764812895,0.305273501163173,1.02,"99.46",0.96,96.3,"94.73",0.96,77.48,1.61,96.09,59.58,26,"SD51KJW64Kpk",0.625,10.2189,62.5,6.1161181731889
"15","4248","Female","IGCSE (British)",13.6320757541732,98.44,87.5,96.7,72.65,75,7.11825397139253,0.448773460727284,-0.313846249486999,-0.197276517832851,0.498671903726627,0.738531970419482,1.58763962732862,1.37963914862251,12,11,0.702407732600359,-0.525649128746382,-0.102708172495609,0.0246834771194558,1.2352702487902,-0.255561383659925,11.5,9,0.738531970419482,1.58763962732862,1.37963914862251,61,61,"Female",0.545688568258832,-0.559327242864812,-0.590393335492382,0.579111616022919,1.33,"312.89",0.97,96.7,"72.65",0.98,92.92,1.13,98.44,87.5,27,"7hej9JvfkMul",0.75,10.5362916666667,75,7.11825397139253
"16","4249","Female","IGCSE (British)",13.9416647952691,96.85,102.64,90.48,85.94,51.8518518518518,8.82005644836127,0.421373963305585,0.136204792214545,0.423594488807277,0.505549254460829,0.274277074895162,0.410682768265141,-0.157652158990946,14.5,12.5,1.38644430377412,-0.21386262206568,0.65269890954226,0.608426863750234,0.175769228056452,0.279899640510911,14,11,0.274277074895162,0.410682768265141,-0.157652158990946,57,57,"Female",0.524920356259804,0.22598995298855,0.653257547863895,0.584231441764766,1.05,"111.66",0.9,90.48,"85.94",0.97,123.7,0.94,96.85,102.64,28,"LyLzc0zsIgLD",0.518518518518518,5.87885714285714,51.8518518518518,8.82005644836127
"17","4257","Female","IGCSE (British)",12.4869151882626,94.53,70.28,90.74,152.29,67.741935483871,7.16163817357765,0.455163040304896,0.326766785868963,0.79542904567527,0.275222166376903,0.876835613713928,-0.685045912065127,-0.395396716772976,10,6,-0.0756048007954263,1.34272388796175,-0.0834505124423831,0.394556191574648,-0.0678690050413917,0.561097915772117,12,7,0.876835613713928,-0.685045912065127,-0.395396716772976,30,30,"Female",0.565641092719501,0.476005574514332,1.30079618022517,0.426526237456758,0.6,"168.40",0.91,90.74,"152.29",0.95,86.74,1.35,94.53,70.28,32,"4awoMMSbvJ9E",0.67741935483871,9.459,67.741935483871,7.16163817357765
"18","4258","Male","IGCSE (British)",14.478651096639,71.88,30.07,100,47.27,53.3333333333333,6.37120216620874,-0.0680813295939825,1.65817502311461,1.75293471279289,0.21206071404827,0.365499103223046,0.692928007969045,0.389045987519778,7,11.5,-1.89232280125097,-1.12106986159486,-0.434314355893693,-1.14923567291317,0.482491032903956,1.70555486795375,9,12,0.365499103223046,0.692928007969045,0.389045987519778,56,56,"Male",-0.0029234453961211,1.85539410516016,2.52591493262888,0.26498808369456,2.12,"51.13",1,100,"47.27",0.72,69.37,2.39,71.88,30.07,33,"hWuJiXDOyI47",0.533333333333333,8.371,53.3333333333333,6.37120216620874
"19","4259","Female","IGCSE (British)",12.5937645033311,98.44,53.88,78.7,74.09,43.4782608695652,3.61607678811381,0.857109168502157,0.408213599157126,0.631710862777093,0.92323738509392,0.655811331508427,1.22574644628133,0.645905543205924,12,8,-0.816569118315222,-0.491866392130866,-1.65727721479274,-0.988570908412944,0.842487773665227,0.519962230967109,12,7,0.655811331508427,1.22574644628133,0.645905543205924,32,32,"Female",0.761605567366131,0.654704249213978,1.03206071396704,0.77724072883025,1.06,"135.37",0.79,78.7,"74.09",0.98,65.18,1.83,98.44,53.88,34,"mTLc51lgErk3",0.434782608695652,12.0236,43.4782608695652,3.61607678811381
"20","4260","Male","IGCSE (British)",15.3306010928962,97.66,76.96,90.63,113.19,63.3333333333333,12.5602351999722,0.275648480634205,-0.31141285943628,-0.45767270941373,0.0569345536055061,0.90109727664705,0.69718756330254,0.673446739570882,10,9.5,0.226202616340685,0.425428747915444,2.31291362616848,0.98818166347487,0.757243859840157,-0.384542784425005,11.5,10,0.90109727664705,0.69718756330254,0.673446739570882,59,59,"Male",0.44336378706682,-0.441008802618964,-0.943600955610196,0.283708024945502,0.8,"132.35",0.91,90.63,"113.19",0.98,88.92,1.27,97.66,76.96,35,"S0C9cae2hNbN",0.633333333333333,5.04236842105263,63.3333333333333,12.5602351999722
"21","4261","Female","IGCSE (British)",13.0874316939891,89.06,96.59,85.19,166.75,65.625,8.64039047511567,0.176065534032537,-0.121283000341495,0.326353183819992,0.205129429640727,0.0183781545205334,-0.440167804069749,-0.239748206125126,14,16,1.11310075981103,1.68195886814256,0.572947616176711,1.12266908137677,-0.220512618558114,0.102535091739249,15,15,0.0183781545205334,-0.440167804069749,-0.239748206125126,20,20,"Female",0.323382831737179,-0.258734259722948,0.427697443348282,0.365468960240078,0.51,"224.74",0.85,85.19,"166.75",0.89,136.98,0.92,89.06,96.59,36,"3nRAwtgX2spT",0.65625,7.59514285714286,65.625,8.64039047511567
"22","4267","Female","IGCSE (British)",12.7499288868927,94.53,55.74,84.26,116.47,60.7142857142857,7.55683577243936,0.385723267551561,0.36407107011115,1.01234301084684,-0.271386654217625,-0.107034365071947,0.92249273054714,0.582752147064261,11,10,-0.732532921328221,0.502378314650787,0.091972351858678,-0.046060751606252,0.466070170846485,0.688207040478995,11,8,-0.107034365071947,0.92249273054714,0.582752147064261,18,18,"Female",0.496891124766796,0.574345824827322,1.7395879224317,-0.144952027094098,0.72,"187.50",0.84,84.26,"116.47",0.95,88.91,1.7,94.53,55.74,39,"OEjQ3nZCeOqr",0.607142857142857,8.03435294117647,60.7142857142857,7.55683577243936
