"","X","ID","Gender","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","score"
"81",81,"4294","Male",3,5,2,4,3,5,5,1,5,5,5,5,5,5,3,2,3,3,5,155
"82",82,"4299","Male",4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5,164
"83",83,"4309","Male",5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5,155
"84",84,"4302","Female",4,5,4,5,4,4,4,5,2,2,3,3,5,4,5,4,5,2,2,156
"85",85,"4278","Male",3,3,2,4,2,1,1,2,1,1,2,1,3,1,4,2,4,4,3,129
"86",86,"4291","Male",3,4,4,3,3,4,2,1,1,3,5,1,1,3,4,2,5,5,5,145
"87",87,"4282K","Male",4,5,3,3,4,5,3,4,3,5,5,5,5,3,3,2,3,4,5,161
"88",88,"4293","Male",4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5,169
"89",89,"4443","Male",3,3,3,5,5,4,4,3,3,3,5,2,5,5,3,3,5,5,5,163
"90",90,"4327","Male",3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5,167
"91",91,"4330","Male",3,3,5,5,5,1,3,3,5,1,3,2,4,5,3,4,5,4,5,160
"92",92,"4337","Male",5,5,5,5,5,1,2,3,4,4,5,1,3,4,5,5,5,5,5,169
"93",93,"4343","Female",4,5,4,5,5,1,1,1,1,1,3,2,4,2,5,5,5,5,5,157
"94",94,"4328","Male",3,3,3,5,3,1,1,1,2,1,2,1,1,1,4,4,5,5,5,145
"95",95,"4324","Male",5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5,174
"96",96,"4348","Female",5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5,171
"97",97,"4338","Female",4,5,4,5,4,3,4,3,4,4,5,3,5,4,5,4,4,5,4,176
"98",98,"4332","Male",4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4,145
"99",99,"4346","Female",3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,165
"100",100,"4347","Female",4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5,178
"101",101,"4339","Female",3,5,3,5,4,3,4,2,2,1,3,2,3,3,4,4,5,4,5,166
"102",102,"4353","Male",3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3,176
"103",103,"4367","Female",5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5,170
"104",104,"4365","Female",3,5,3,5,3,1,1,1,2,1,3,1,4,1,4,2,5,5,5,159
"105",105,"4357","Male",4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5,191
"106",106,"4373","Female",5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3,175
"107",107,"4359","Male",4,3,3,5,5,2,2,3,2,2,3,2,3,1,4,3,5,5,4,168
"108",108,"4352","Male",5,4,4,5,5,3,2,2,3,1,5,5,4,4,3,3,5,4,4,179
"109",109,"4362","Male",3,4,4,5,4,2,2,2,1,1,3,2,4,4,4,4,3,3,3,167
"110",110,"4363","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,203
"111",111,"4366","Female",5,5,5,3,5,1,3,1,1,3,3,1,3,1,3,3,5,5,5,172
"112",112,"4356","Male",5,4,5,5,5,3,3,3,4,4,5,3,5,5,4,3,4,3,4,189
"113",113,"4364","Female",3,4,3,5,4,2,1,1,1,2,3,2,4,3,5,4,4,4,4,172
"114",114,"4355","Male",4,3,4,5,4,2,2,2,2,2,5,1,4,4,3,3,3,3,2,172
"115",115,"4325","Male",4,4,3,3,5,1,1,1,1,2,4,3,2,3,5,5,5,5,5,177
"116",116,"4342","Female",5,5,3,5,5,1,1,1,1,1,4,3,2,2,3,4,3,5,4,174
"117",117,"4391","Male",4,4,3,3,3,1,1,2,2,2,5,3,4,5,4,3,3,3,3,175
"118",118,"4393","Female",4,4,4,5,5,3,3,2,1,4,4,3,5,4,3,3,3,4,4,186
"119",119,"4390","Male",4,5,5,3,5,2,2,1,1,1,5,3,1,3,4,5,5,4,5,183
"120",120,"4385","Male",4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,202
"121",121,"4384","Female",5,5,5,5,5,3,2,2,1,1,3,2,3,1,5,5,5,5,5,189
"122",122,"4392","Female",4,5,5,5,5,5,4,4,3,3,4,1,5,4,4,4,5,5,4,201
