"","subject_id","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF"
"196","4506",96.88,81.77,90.74,105.55,73.3333333333333,7.8410407199501
"197","4507",90.63,63.48,85.19,102.28,57.1428571428571,9.57678109423702
"198","4508",97.66,82.63,91.67,117.77,68.75,8.86961519064542
"199","4509",92.97,75.83,87.04,101.61,53.125,5.91332901189704
"200","4513",92.19,17.67,89.81,45.01,45,5.31656536749938
"201","4514",94.53,60.92,87.04,92.53,55.1724137931034,6.15849463296815
"202","4517",97.66,52.06,98.15,79.62,60,4.28027901077996
"203","4518",92.97,65.69,88.89,130.59,57.6923076923077,8.18957892461001
"204","4521",95.31,71.45,86.11,142.03,56.25,4.54325175672401
"205","4535",95.7,46.45,80.56,43.21,64.2857142857143,7.34020565453387
"206","4535",95.7,46.45,80.56,43.21,68.9655172413793,7.87455012746928
"207","4536",89.06,65.18,63.64,47.57,59.2592592592593,8.27932368274666
"208","4537",98.44,85.37,76.85,171.35,68.9655172413793,10.9774876427794
"209","4539",92.97,72.09,90.74,168.25,56.25,7.49272927751589
"210","4540",91.41,82.65,93.52,157.98,59.375,7.33401161089838
"211","4542",99.22,74.65,76.85,83.51,43.4782608695652,3.40615928972042
"212","4545",99.22,29.87,99.06,40.41,NA,NA
"213","4546",80.47,89.19,78.7,107.86,65.625,8.03257619472276
"214","4548",88.28,55.52,92.59,77.43,62.5,6.51615223816797
"215","4549",95.31,35.34,81.48,87.49,65.625,5.39577851907536
"216","4553",96.09,101.68,79.63,173.56,53.125,8.22668063399526
"217","4554",94.53,55.07,89.81,82.85,64.5161290322581,7.80179082306553
"218","4556",93.75,78.47,79.63,150.7,62.5,9.18570557241643
"219","4558",77.34,62.71,81.48,106.55,42.8571428571429,5.62694305377326
"220","4559",88.28,89.84,87.04,127.08,64.5161290322581,5.90463686704692
"221","4562",57.81,83.83,2.78,6.2,45,5.61828926559942
"222","4563",83.59,48.59,69.44,168.9,66.6666666666667,9.97854612582947
"223","4564",99.22,85.87,92.59,120.41,81.25,5.06037718674169
"224","4568",96.88,52.97,93.52,103.08,65.625,5.37521695887045
"225","4569",92.19,49.26,23.15,26.9,NA,NA
"226","4571",85.94,48.55,50.93,31.73,62.5,7.73979430722649
"227","4572",92.13,56.22,90.74,58.77,71.875,2.04362746734214
"228","4573",87.4,57.04,88.89,123.98,NA,NA
"229","4579",95.31,60.27,86.11,195.42,66.6666666666667,6.00603306020898
"230","4583",95.31,49.03,96.3,39.73,39.1304347826087,6.69544883065226
"231","4585",96.88,101.88,94.44,104.87,63.3333333333333,10.8386926314905
"232","4588",95.31,53.84,24.07,17.5,58.6206896551724,9.26766227227686
