,ID,Gender,Certificate ,Age,FM_Per.ACC,PostScore,PreScore,FM_EFF2,SS_ACC,CB_PerCorrect,CB_EFF,SE_P,PAV,PAp,MG_P,SE_S.x,TV.x,MG_S.x,FM_EFF_Z,SS_EFF_Z,CB_EFF_Z,Avg_EF,Avg-SALES,Avg_PG,SelfEfficacy_P,PerfAvGoals,PerfAppGoals,MasteryGoals_P,Average.of.RTc,Average.of.EFF,Average.of.ACC,Per.Correct,Eff2,FM_ACC_mean,FM_EFF_mean,FM_RTc_mean,Per.ACC,FM_EFF,CB_ACC,CB_RTc_mean,CB_PerCorrect
264,4898,Female,IGCSE (British),14.82,95.70,14.00,12.00,87.43,93.98,78.13,8.13,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.70,0.14,0.35,0.39,0.23,0.46,-0.79,-0.44,-0.24,-1.08,0.93,104.64,0.94,93.98,100.84,0.96,108.95,1.09,95.70,87.43,0.68,9.61,67.74
21,4261,Female,IGCSE (British),13.09,89.06,15.00,15.00,96.59,85.19,65.63,8.64,0.18,-0.12,0.33,0.21,0.02,-0.44,-0.24,1.11,1.68,0.57,1.12,-0.22,0.10,0.32,-0.26,0.43,0.37,0.51,224.74,0.85,85.19,166.75,0.89,136.98,0.92,89.06,96.59,0.66,7.60,65.63
92,4364,Female,IGCSE (British),15.12,96.09,14.00,15.00,55.68,88.89,68.75,3.62,-0.08,-0.21,-0.49,-0.41,-0.37,-0.60,-0.93,-0.74,0.45,-1.65,-0.65,-0.63,-0.35,0.01,-0.33,-0.98,-0.32,0.78,142.63,0.89,88.89,114.27,0.96,72.67,1.73,96.09,55.68,0.69,18.97,68.75
194,4752,Male,Other?,11.66,100.00,2.00,15.00,72.17,84.92,68.97,2.91,-0.94,0.62,0.71,0.04,-0.24,0.25,0.21,0.01,0.13,-1.97,-0.61,0.08,0.66,-1.03,0.90,1.16,0.10,0.84,164.05,0.85,84.92,100.81,1.00,100.87,1.39,100.00,72.17,0.69,23.70,68.97
209,4781,Male,IB,15.13,97.66,14.00,15.00,42.19,91.67,64.52,9.93,-0.06,-1.07,-1.21,-0.64,-0.21,-0.98,-0.67,-1.34,-0.75,1.14,-0.32,-0.62,-1.14,0.10,-1.51,-1.52,-0.61,1.46,78.71,0.92,91.67,62.96,0.98,68.39,2.31,97.66,42.19,0.65,6.50,64.52
249,4878,Female,IGCSE (British),15.03,94.53,14.00,15.00,82.35,93.52,65.52,9.16,0.49,0.02,-0.39,0.75,0.82,0.84,1.06,0.47,-0.08,0.80,0.40,0.91,-0.18,0.57,0.05,-0.85,0.72,1.02,80.64,0.94,93.52,91.60,0.95,97.67,1.15,94.53,82.35,0.66,7.16,65.52
251,4884,Female,IGCSE (British),15.05,94.53,15.00,15.00,64.84,80.56,60.87,11.65,-0.72,0.67,0.98,0.42,0.17,1.02,0.95,-0.32,0.19,1.91,0.59,0.71,0.83,-0.78,1.05,1.76,0.43,0.78,151.05,0.81,80.56,103.09,0.95,85.37,1.46,94.53,64.84,0.61,5.22,60.87
276,4917,Male,IGCSE (British),15.07,96.88,12.00,15.00,78.90,100.00,65.63,8.64,0.14,-0.43,-0.64,0.20,-0.39,0.11,-0.35,0.31,-0.91,0.57,-0.01,-0.21,-0.54,0.33,-0.63,-1.11,0.39,1.78,48.15,1.00,100.00,56.29,0.97,89.31,1.23,96.88,78.90,0.66,7.60,65.63
74,4324,Male,IGCSE (British),15.10,95.31,14.50,14.00,88.84,97.22,70.00,10.46,0.58,0.12,0.39,0.82,0.87,1.62,1.44,0.76,-0.93,1.38,0.40,1.31,0.26,0.62,0.30,0.52,0.74,1.76,54.73,0.97,97.22,55.31,0.95,105.72,1.07,95.31,88.84,0.70,6.69,70.00
13,4245,Female,IGCSE (British),13.61,100.00,10.00,16.00,56.87,93.52,71.88,6.37,0.73,0.49,-0.17,0.54,0.15,-0.21,-0.10,-0.68,-0.34,-0.43,-0.49,-0.05,0.16,0.71,0.69,-0.52,0.59,1.16,141.52,0.94,93.52,80.40,1.00,73.91,1.76,100.00,56.87,0.72,11.28,71.88
28,4276,Male,IGCSE (British),12.48,93.65,14.00,16.00,74.13,91.67,59.38,7.88,0.41,-1.18,-0.94,0.46,-0.15,0.66,0.33,0.10,1.51,0.24,0.62,0.28,-1.06,0.53,-1.61,-1.41,0.57,0.57,170.00,0.92,91.67,159.61,0.94,95.48,1.26,93.65,74.13,0.59,7.53,59.38
91,4363,Female,IGCSE (British),14.76,98.44,15.00,16.00,70.46,99.07,64.29,5.77,0.61,1.69,1.77,0.86,0.67,0.19,0.33,-0.07,-1.12,-0.70,-0.63,0.39,1.73,0.63,1.87,2.53,0.76,2.10,48.21,0.99,99.07,47.22,0.98,90.14,1.40,98.44,70.46,0.64,11.15,64.29
114,4428,Male,IGCSE (British),13.44,89.06,16.00,16.00,79.95,91.67,65.63,9.46,-0.70,0.87,0.86,-0.40,0.23,-0.26,0.02,0.36,-0.86,0.94,0.15,-0.00,0.87,-0.78,1.31,1.57,-0.34,1.57,142.31,0.92,91.67,58.48,0.89,139.22,1.11,89.06,79.95,0.66,6.94,65.63
208,4780,Female,IB,14.26,96.09,15.00,14.00,84.42,90.74,78.13,2.48,-0.34,-1.03,-0.91,-0.47,-0.22,-0.03,-0.11,0.56,0.79,-2.16,-0.27,-0.12,-0.97,-0.19,-1.45,-1.39,-0.37,0.70,138.87,0.91,90.74,128.91,0.96,102.09,1.14,96.09,84.42,0.78,31.47,78.13
254,4888,Female,IGCSE (British),14.66,99.22,12.00,14.00,30.69,99.07,50.00,2.00,0.78,0.82,0.90,-0.18,0.86,-0.03,0.33,-1.86,-1.67,-2.37,-1.97,0.39,0.86,0.69,1.14,1.60,-0.24,4.14,33.14,0.99,99.07,23.93,0.99,51.85,3.23,99.22,30.69,0.50,24.95,50.00
255,4896,Female,IGCSE (British),14.74,98.44,16.00,16.00,80.30,98.15,60.00,5.35,-0.91,0.22,-0.05,-0.15,0.32,0.36,0.75,0.38,-0.74,-0.89,-0.42,0.48,0.08,-0.90,0.29,-0.30,-0.02,1.55,65.21,0.98,98.15,63.40,0.98,99.37,1.23,98.44,80.30,0.60,11.22,60.00
268,4904,Male,IGCSE (British),13.05,96.09,16.00,16.00,89.96,93.52,75.00,7.28,0.45,-0.71,-0.70,0.28,0.93,0.63,0.47,0.81,0.18,-0.03,0.32,0.68,-0.71,0.56,-1.01,-1.22,0.44,0.91,104.45,0.94,93.52,102.92,0.96,102.51,1.07,96.09,89.96,0.75,10.30,75.00
271,4908,Female,IGCSE (British),13.13,96.09,15.00,16.00,80.07,92.59,68.75,8.30,0.11,-1.00,-0.90,0.01,0.34,0.23,0.04,0.37,-0.47,0.42,0.11,0.20,-0.95,0.25,-1.39,-1.37,0.17,1.23,103.35,0.93,92.59,75.01,0.96,100.91,1.20,96.09,80.07,0.69,8.28,68.75
273,4911,Female,IGCSE (British),14.92,96.09,16.00,16.00,96.98,86.11,61.29,7.37,-0.01,-1.29,-1.29,-0.11,0.47,0.52,0.73,1.13,1.63,0.01,0.92,0.57,-1.29,0.15,-1.65,-1.54,0.02,0.52,219.17,0.86,86.11,164.53,0.96,129.09,0.99,96.09,96.98,0.61,8.32,61.29
80,4342,Female,IGCSE (British),14.80,100.00,16.00,14.00,63.18,98.15,68.75,4.64,-0.24,-0.38,-0.92,0.15,0.36,0.35,0.18,-0.40,-0.82,-1.20,-0.81,0.30,-0.65,-0.17,-0.59,-1.33,0.27,1.63,59.81,0.98,98.15,60.14,1.00,76.75,1.58,100.00,63.18,0.69,14.83,68.75
