"","ID","PostScore","PreScore","Gain","SelfEfficacy_S","TaskValue","MasteryGoals_S"
"73","4379",7,8,-1,-0.163589214873532,-0.0531164008199078,-0.0268021867864282
"74","4380",7,6,1,0.646937690998255,0.462003806226136,0.648376601444592
"75","4382",7.5,6.5,1,-0.82222180502492,-0.858088620938098,-0.877930885854447
"76","4383",6,7.5,-1.5,0.401057149143581,0.899597325566737,0.975670383320807
"77","4384",12,9,3,1.37667040834962,1.16064976132361,1.3828454489208
"78","4390",13,12,1,-0.458574710281616,0.0351449337392881,-0.241008454485942
"79","4391",6.5,8,-1.5,-1.00431674750589,-1.30276492564077,-1.294570666033
"80","4394",12,12,0,1.11353843732623,1.0334425709831,1.23726578086236
"81","4396",11,8,3,0.52425302068466,1.15281069313504,0.815151747669107
"82","4397",13,5.5,7.5,-0.292450497133073,-0.301492224060028,0.182724809319291
"83","4400",5.5,5.5,0,-0.525790006335537,-0.281926909665156,-0.414547644458984
"84","4404",15,9,6,0.715987971666433,-1.27927631709757,-0.306495754583153
"85","4406",4,9,-5,0.0403485935173117,-0.254438416666127,-0.318459184275915
"86","4407",11,7.5,3.5,0.0155157461873964,0.0689382772135669,-0.313592461557929
"87","4408",12.5,4.5,8,-0.61033779322409,-1.1138646288222,-0.808524113121932
"88","4410",9,10.5,-1.5,-0.0124508150180215,0.373198174879067,0.24290839921293
"89","4411",9.5,8.5,1,-0.474217466120196,-0.312922380859988,-0.426540218434158
"90","4413",14,13,1,-0.411533256961238,-1.38733783504112,-0.585726637363001
"91","4419",7,5,2,0.958153136817134,0.315778343347467,0.918235183094248
"92","4421",8,2,6,0.0426667632435732,-0.0119326591289667,-0.316099398070568
"93","4423",13,13,0,0.174848194595834,1.26262116013553,1.04614406582424
"94","4426",13,9,4,-0.005233357040567,0.0414857635207713,-0.0749876033501909
"95","4428",14,15,-1,0.232360071888903,-0.261229310228128,0.0077602320137336
"96","4429",13,9,4,-0.314411984956839,-0.315307682310369,-0.635646968673497
"97","4430",13,11,2,0.228925048267395,-0.198314563041857,-0.326804216387416
"98","4431",12,10.5,1.5,-0.906487109899885,0.0826625917427535,-0.670398266642451
"99","4432",12,10,2,-0.975184394961853,-1.13602266278953,-1.1994323015264
"100","4433",14,13,1,0.753971807854756,0.515513508619896,0.934039519140823
"101","4435",12,12,0,-1.18482366056613,-0.249752116680177,-1.05255602055772
"102","4436",10,13,-3,0.849784914557861,0.864112603856043,0.806418833194323
"103","4437",12,8.5,3.5,0.641720214640818,0.857148653921345,0.761099225456878
"104","4440",9,8,1,-0.719479632639397,-1.37278198653197,-1.3594082120082
"105","4447",11,11,0,0.642990037082927,0.61817993881397,0.688416117755098
"106","4448",14,14,0,0.26070633862181,0.542019370128857,0.0916727773908514
"107","4449",14,9,5,0.103387662875689,0.276686531463086,-0.683898150933824
"108","4450",12,12,0,-0.497903290758227,-1.06835305281365,-0.579160091345526
"109","4451",10,10,0,0.317709252724889,1.50593524331041,1.18417929357366
"110","4452",14,12,2,-1.43497338270091,-0.770051942346839,-1.45373347028186
"111","4453",9,7.5,1.5,-0.114352942457493,-0.113567233541234,-0.3603235955586
"112","4454",13,5.5,7.5,-0.273592693174298,-1.1647513852357,-0.330677758051835
"113","4455",14,8.5,5.5,-0.59523160940092,-1.56325979411987,-1.64128231826914
"114","4456",9,9,0,-0.0786609311432707,-0.0988340876054175,0.0325184840840809
"115","4457",6,7,-1,-0.172322727951343,-0.360765923996161,-0.607890966064623
"116","4458",14,13,1,0.972241230235601,0.505494586951224,0.767819934666967
"117","4459",14,9,5,0.955663818955515,-0.504493548356072,-0.139484184405966
"118","4460",13,4,9,0.249376357635797,0.778950844351695,0.894619657108443
"119","4461",12.5,14,-1.5,-0.317090973424211,-0.403802771610991,-0.100308149045319
