Row Labels,Average of RTc,Average of EFF,Average of ACC,Per Correct,Eff2
4901,1.15,88.47,0.96,96.30,83.51
4286,1.12,102.13,0.94,93.52,83.47
4345,1.16,79.94,0.96,96.30,83.18
4662,1.13,100.68,0.94,93.78,83.07
4554,1.08,128.81,0.90,89.81,82.85
4767,1.09,144.41,0.90,89.81,82.77
4323,1.16,91.39,0.95,95.37,82.19
4804,0.73,1742.90,0.60,60.19,81.89
4633,1.09,198.17,0.89,89.32,81.88
4950,1.18,91.22,0.95,95.37,80.72
4386,1.10,138.39,0.89,88.89,80.59
4245,1.16,141.52,0.94,93.52,80.40
4294A,1.20,88.99,0.96,96.30,80.37
4425,0.96,250.48,0.77,76.85,80.31
4368,0.98,129.42,0.79,78.70,80.15
4433,1.14,121.71,0.91,90.74,79.70
4517,1.23,71.35,0.98,98.15,79.62
4494,1.16,87.88,0.93,92.59,79.61
4376,1.05,126.45,0.83,83.33,79.40
4278,1.19,95.21,0.94,94.44,79.30
4755B,1.23,77.05,0.97,97.22,79.10
4281F,1.12,126.12,0.87,87.04,78.05
4338,1.25,74.79,0.97,97.22,77.68
4548,1.20,120.12,0.93,92.59,77.43
4645,1.03,161.64,0.80,79.63,77.11
4502,0.25,1198.79,0.19,19.44,77.00
4370,1.15,116.08,0.88,87.96,76.78
4251,1.00,139.26,0.76,75.93,76.25
4307,1.23,114.46,0.94,93.52,76.14
4604,1.23,402.89,0.94,93.52,76.08
4269,1.26,82.75,0.95,95.37,75.90
4858,1.12,178.76,0.85,85.19,75.87
4955,1.21,112.31,0.92,91.67,75.51
4299,1.25,86.71,0.94,93.52,75.04
4908,1.23,103.35,0.93,92.59,75.01
4419,1.25,110.69,0.94,93.52,74.98
4854,1.29,72.21,0.96,96.30,74.86
4937,1.25,102.70,0.93,92.59,74.13
4259,1.06,135.37,0.79,78.70,74.09
4233,1.05,153.21,0.78,77.78,74.01
4330,1.15,110.66,0.85,85.19,73.83
4635,0.24,318.95,0.18,17.92,73.35
4834,1.20,131.85,0.88,87.74,73.34
4389,1.27,123.60,0.93,92.59,73.19
4290,1.32,80.64,0.97,96.81,73.14
4437,1.23,89.15,0.90,89.81,72.90
4944,1.16,127.12,0.84,84.26,72.72
4248,1.33,312.89,0.97,96.70,72.65
4332,1.32,98.29,0.95,95.37,72.40
4813,1.36,80.16,0.97,97.22,71.30
4443,1.25,145.33,0.89,88.89,71.28
4348,1.31,112.58,0.93,92.59,70.94
4887,1.36,72.28,0.96,96.30,70.82
4769B,1.26,108.89,0.89,88.89,70.39
4317,1.37,106.74,0.95,95.37,69.80
4268,1.25,103.25,0.87,87.04,69.68
4232,1.13,151.56,0.79,78.70,69.68
4772,1.08,175.32,0.75,75.00,69.26
4801,1.31,101.38,0.91,90.74,69.04
4928,1.23,158.73,0.84,84.26,68.65
4727,1.23,127.66,0.84,84.26,68.35
4689,1.13,163.30,0.77,76.85,68.13
4676,1.44,71.86,0.98,98.15,68.00
4459,1.45,69.36,0.98,98.15,67.81
4863,1.27,150.26,0.86,86.11,67.70
4264F,0.25,246.91,0.17,16.67,67.48
4704,1.31,113.80,0.88,87.96,67.35
4374,1.23,320.02,0.82,82.41,66.83
4760,1.36,105.00,0.91,90.74,66.67
4748,1.15,109.03,0.77,76.85,66.64
4297,1.16,214.18,0.77,76.85,66.34
4279,1.29,144.76,0.84,84.26,65.28
4860,1.40,85.20,0.91,90.74,65.02
4340,1.23,92.15,0.80,79.63,64.81
4896,1.55,65.21,0.98,98.15,63.40
4489,1.13,1471.22,0.71,71.30,63.28
4781,1.46,78.71,0.92,91.67,62.96
4886,1.43,119.41,0.90,89.81,62.75
4907,1.59,68.44,1.00,100.00,62.70
4906,1.59,60.50,0.99,99.07,62.28
4485,1.48,148.57,0.92,91.67,62.12
4717,1.56,67.72,0.96,96.30,61.82
4652,1.61,58.53,0.98,98.15,61.03
4342,1.63,59.81,0.98,98.15,60.14
4709,1.53,128.39,0.92,91.67,60.05
4825,1.65,68.20,0.99,99.07,60.04
4284,1.39,99.45,0.83,83.33,59.88
4768,1.55,66.21,0.93,92.52,59.76
4400,1.09,113.82,0.65,64.81,59.50
4466,1.59,87.62,0.94,94.44,59.25
4885,1.56,68.86,0.92,91.67,58.94
4572,1.54,108.05,0.91,90.74,58.77
4428,1.57,142.31,0.92,91.67,58.48
4462,1.28,140.65,0.75,75.00,58.38
4359,1.60,97.43,0.94,93.52,58.27
4761,1.70,58.03,0.99,99.07,58.20
4444,1.49,170.02,0.86,86.11,57.98
4864,1.39,175.12,0.81,80.56,57.75
4903,1.74,49.50,1.00,100.00,57.36
4244,1.67,63.70,0.95,95.37,57.21
