ID,Gender,Q01_imp,Q02_imp,Q03_imp,Q04_imp,Q05_imp,Q06_imp,Q07_imp,Q08_imp,Q09_imp,Q10_imp,Q11_imp,Q12_imp,Q13_imp,Q14_imp,Q15_imp,Q16_imp,Q17_imp,Q18_imp,Q19_imp,score
4885,Female,4,5,5,5,4,3,3,4,4,5,5,1,4,3,4,5,5,5,5,79
4888,Female,1,3,5,5,5,3,5,1,5,5,5,1,5,5,5,5,5,5,5,79
4934,Male,5,5,5,5,5,3,5,3,3,3,3,1,5,5,5,5,5,5,3,79
4347,Female,4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5,78
4461,Male,5,1,1,3,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,78
4478,Female,5,5,4,5,5,1,1,1,5,4,5,3,5,5,5,4,5,5,5,78
4521,Male,5,4,4,5,5,5,4,4,2,2,5,3,5,3,4,4,5,4,5,78
4281F,Female,5,5,4,5,5,3,2,5,5,2,5,5,5,5,3,3,4,3,4,78
4645,Male,5,4,5,5,5,5,3,2,3,3,4,3,4,5,4,4,5,4,5,78
4816,Male,4,4,4,4,4,4,4,5,5,5,5,5,5,5,3,3,3,3,3,78
4267,Female,3,5,2,4,5,5,5,1,5,5,3,5,5,1,5,3,5,5,5,77
4263,Female,4,4,4,5,4,5,5,4,3,1,5,3,5,2,5,3,5,5,5,77
4269,Female,4,4,3,5,4,4,4,3,3,3,5,5,5,5,4,3,4,4,5,77
4327,Male,3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5,77
4337,Male,5,5,5,5,5,1,2,3,4,4,5,1,3,4,5,5,5,5,5,77
4356,Male,5,4,5,5,5,3,3,3,4,4,5,3,5,5,4,3,4,3,4,77
4406,Male,4,5,5,4,5,4,5,4,4,3,4,2,3,4,4,4,3,5,5,77
4664,Female,3,5,3,5,5,3,5,5,1,3,5,1,5,5,3,5,5,5,5,77
4311,Male,5,5,5,5,5,3,3,3,1,1,5,3,5,5,5,5,5,3,5,77
4818,Male,5,5,5,5,5,3,3,2,4,5,5,1,4,2,4,4,5,5,5,77
4884,Female,5,5,5,5,5,5,3,5,5,3,5,3,3,5,3,3,3,3,3,77
4922,Female,5,5,3,5,5,3,3,5,3,1,5,4,5,3,4,4,5,5,4,77
4948,Female,5,5,3,5,5,3,2,3,1,3,5,5,5,4,4,4,5,5,5,77
4420,Male,4,5,4,5,4,3,3,3,3,3,4,3,4,4,5,4,5,5,5,76
4289,Female,4,5,4,3,5,5,5,3,5,3,4,5,4,4,3,3,4,3,4,76
4507,Male,5,5,5,5,5,2,2,2,2,3,4,3,5,3,5,5,5,5,5,76
4492,Female,5,5,5,5,5,3,1,3,2,1,5,1,5,5,5,5,5,5,5,76
4317,Male,4,4,3,4,5,3,4,5,3,4,4,3,5,4,4,3,4,5,5,76
4623,Male,5,5,3,5,5,3,3,5,5,5,5,3,5,3,3,3,4,3,3,76
4691,Female,3,5,3,4,4,4,3,5,5,2,4,1,5,4,5,4,5,5,5,76
4730,Female,4,5,5,5,5,3,4,4,1,1,3,3,4,4,5,5,5,5,5,76
4931,Male,4,5,5,5,5,2,3,2,2,3,5,4,5,2,5,4,5,5,5,76
4224,Female,5,5,3,5,5,4,4,3,3,3,5,1,4,1,4,5,5,5,5,75
4291F,Female,4,5,5,5,5,5,4,2,2,2,5,1,5,4,4,3,5,5,4,75
4249,Female,5,5,4,5,5,3,3,4,3,3,5,1,3,3,5,4,4,5,5,75
4304,Male,5,5,4,4,5,4,2,4,3,4,5,5,4,3,5,3,4,3,3,75
4348,Female,5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5,75
4382,Female,5,4,3,5,4,5,5,4,2,4,4,5,2,5,2,3,5,5,3,75
4449,Female,5,3,5,5,5,2,2,2,4,4,2,2,4,5,5,5,5,5,5,75
4447,Female,5,5,5,5,5,3,2,2,2,2,5,3,5,5,3,3,5,5,5,75
4522,Female,5,5,3,3,5,3,3,5,3,5,3,1,5,3,5,5,5,5,3,75
4245,Female,4,5,5,5,5,3,4,1,1,1,5,3,5,4,4,5,5,5,5,75
4759,Male,5,5,5,5,4,3,3,4,2,3,4,3,3,4,4,4,5,5,4,75
4771,Female,5,4,5,5,5,5,5,5,5,5,4,1,5,5,2,1,3,3,2,75
4789,Male,5,5,5,5,5,4,1,3,3,3,5,1,5,3,4,4,5,5,4,75
4857,Female,5,4,5,5,5,3,5,3,3,3,4,3,4,1,4,4,5,5,4,75
4898,Female,3,4,2,5,5,2,2,3,3,3,4,4,5,5,5,5,5,5,5,75
4253,Female,5,4,4,5,5,2,2,3,3,3,5,5,4,4,4,2,5,5,4,74
4285,Female,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,5,4,5,74
4308,Female,5,5,4,5,5,3,3,2,3,5,5,5,5,3,3,3,3,4,3,74
4294,Male,3,5,2,4,3,5,5,1,5,5,5,5,5,5,3,2,3,3,5,74
4282K,Male,4,5,3,3,4,5,3,4,3,5,5,5,5,3,3,2,3,4,5,74
4443,Male,3,3,3,5,5,4,4,3,3,3,5,2,5,5,3,3,5,5,5,74
4353,Male,3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3,74
4428,Male,3,4,4,5,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3,74
4476,Female,4,5,5,5,5,3,1,2,2,5,5,2,5,1,4,5,5,5,5,74
4550,Female,5,5,4,5,5,3,3,2,1,2,4,4,5,4,4,3,5,5,5,74
4281,Male,4,4,3,5,3,3,3,4,5,5,5,4,4,4,3,3,4,4,4,74
4372,Male,4,5,4,5,4,3,3,2,3,4,3,3,4,4,4,4,5,5,5,74
4599,Male,4,5,4,5,5,4,4,3,3,2,4,4,5,2,3,3,4,5,5,74
4607,Female,4,5,5,5,5,4,4,3,3,4,3,1,4,1,4,4,5,5,5,74
4796,Female,4,5,5,5,5,4,5,3,3,3,4,3,4,3,3,4,4,4,3,74
4912,Female,4,5,3,5,5,3,4,3,3,3,4,1,4,4,3,5,5,5,5,74
4275,Male,4,5,5,5,4,2,1,1,3,3,5,2,5,4,5,5,5,5,4,73
4273,Male,4,5,5,4,5,4,3,4,1,1,3,1,4,4,5,5,5,5,5,73
4401,Male,4,5,4,5,5,2,3,2,1,4,5,4,5,1,4,4,5,5,5,73
4465,Male,4,5,3,5,4,3,3,2,1,3,5,4,5,5,4,3,5,5,4,73
4554,Female,5,5,5,5,5,1,1,1,1,1,5,5,3,5,5,5,5,5,5,73
4381,Male,3,5,5,5,5,3,1,1,1,3,5,5,5,5,3,4,5,4,5,73
4643,Male,4,5,3,5,5,3,3,3,4,4,5,1,4,4,2,3,5,5,5,73
4673,Male,3,4,3,5,5,3,4,2,2,3,5,4,5,5,4,3,4,5,4,73
4589,Female,4,4,4,5,4,3,3,4,3,3,5,5,4,3,3,3,4,4,5,73
4598,Female,3,4,4,5,5,3,2,3,2,2,5,3,5,4,4,4,5,5,5,73
4746B,Male,5,3,5,5,5,5,1,1,1,1,5,5,3,5,3,5,5,5,5,73
4858,Male,5,3,3,5,5,4,5,1,3,1,5,3,5,4,3,4,5,4,5,73
4900,Male,4,3,4,5,4,4,3,2,3,4,5,3,5,3,4,3,4,5,5,73
4293F,Female,3,5,5,5,5,5,3,1,1,2,3,3,5,5,5,3,3,5,5,72
4315,Male,5,5,5,5,5,3,5,1,1,1,5,1,2,3,5,5,5,5,5,72
4309,Male,5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5,72
4302,Female,4,5,4,5,4,4,4,5,2,2,3,3,5,4,5,4,5,2,2,72
4424,Male,5,4,5,5,5,3,4,3,2,3,4,1,3,2,3,5,5,5,5,72
4458,Female,4,5,3,5,3,4,3,2,2,2,5,1,5,4,5,4,5,5,5,72
4498,Female,5,4,4,5,5,2,2,2,2,1,5,5,3,3,4,5,5,5,5,72
4531,Male,4,4,5,5,5,2,2,2,2,2,3,3,5,3,5,5,5,5,5,72
4545,Male,4,5,5,5,5,4,3,2,2,2,3,3,3,1,5,5,5,5,5,72
4768,Male,4,5,4,5,5,3,3,3,2,2,4,3,4,3,4,3,5,5,5,72
4810,Female,3,5,4,5,4,5,4,1,2,3,4,3,5,3,4,3,5,4,5,72
4845,Female,4,4,4,4,5,3,2,2,3,3,5,2,5,5,4,4,3,5,5,72
4752,Male,5,5,5,5,3,5,3,5,3,3,5,3,5,3,3,3,2,3,3,72
4914,Female,3,5,5,5,5,2,3,3,4,4,5,1,4,5,3,2,4,5,4,72
4945,Female,3,3,5,5,5,3,3,4,3,2,5,3,5,3,3,2,5,5,5,72
4225,Female,5,2,5,5,5,5,5,1,1,1,4,1,5,2,5,4,5,5,5,71
4303,Female,5,3,5,3,3,3,2,2,3,3,5,4,5,5,3,3,5,4,5,71
4352,Male,5,4,4,5,5,3,2,2,3,1,5,5,4,4,3,3,5,4,4,71
4407,Male,5,5,4,5,5,2,2,1,2,1,3,3,5,5,5,4,4,5,5,71
4442,Female,5,5,5,5,5,3,3,3,1,1,5,1,5,1,5,3,5,5,5,71
4451,Female,5,5,5,5,5,2,1,3,1,1,3,2,3,5,5,5,5,5,5,71
4457,Female,3,4,5,4,5,4,4,3,2,2,4,4,3,4,4,3,5,4,4,71
