"","ID","PostScore","PreScore","SE_S","TV","MG_S","X.1","X","Gender","SelfEfficacy_P","PerfAvGoals","PerfAppGoals","MasteryGoals_P","Average.of.RTc","Average.of.EFF","Average.of.ACC","Per.Correct","Eff2","FM_ACC_mean","FM_EFF_mean","FM_RTc_mean","Per.ACC","EFF2"
"47","4313",12,10,-1.16777133727552,-0.533326833262542,-1.06613104834178,71,71,"Female",-0.895731710682474,-0.725299376436552,-0.636570339206245,-1.00275660356619,0.89,"159.53",0.81,80.77,"91.00",0.96,71.61,2.69,96.09,35.76
"48","4314",12,7,-0.461930543316133,-0.822330464980532,-0.160147165020125,261,261,"Male",0.0113970493349265,-0.802312505554219,-0.341595659780522,0.273135999324877,0.87,"114.74",0.92,91.67,"105.79",0.99,85.17,1.37,99.22,72.66
"49","4315",12,11,0.769896139259704,0.345738445241405,0.647363908675246,72,72,"Male",0.860133259274234,-0.240710624988497,-0.572342721127945,0.786405032044714,1.08,"120.10",0.93,92.59,"85.71",0.92,77.03,1.66,92.19,55.61
"50","4319",7,6,-0.0324227372591959,-0.00605838448127946,0.0744946929782403,73,73,"Female",-0.108270965893961,1.30711123566408,1.86033160988073,0.290278716721337,1.69,"136.21",0.35,35.19,"20.79",0.95,64.42,2.41,95.31,39.51
"51","4321",5.5,5,-0.588244025822079,-0.256526080354122,-0.464434616133332,65,65,"Female",-0.162550137302525,-1.07648552066528,-1.43396589682066,-0.396436694838706,0.61,"188.15",0.77,76.85,"125.29",0.95,83.14,1.46,95.31,65.49
"52","4322",14,4,-0.133433912318991,0.986067972594236,0.39275009538841,70,70,"Female",-0.597012490935292,0.463568032175861,-0.470422568177146,-0.191231163767274,0.69,"184.00",0.81,81.48,"118.61",0.96,106.08,1.14,96.09,84.59
"53","4324",14.5,14,0.86905682380868,1.619685742039,1.44256083750767,93,93,"Male",0.622890884426288,0.297098750660143,0.518917550519093,0.741874390373232,1.76,"54.73",0.97,97.22,"55.31",0.95,105.72,1.07,95.31,88.84
"54","4327",15,13,0.0959636422180839,0.322164941864595,0.483706188502066,88,88,"Male",0.567166458450869,0.728466668157585,0.976346681101731,0.406623886808046,0.6,"183.43",0.92,91.67,"151.90",0.94,108.98,1.06,93.75,88.31
"55","4328",16,15,0.64636199555582,0.191231334555699,0.667612810657158,92,92,"Male",0.385972580001313,-1.56366708892896,-1.24745032953996,-0.542336011945395,0.71,"167.59",0.83,83.33,"116.92",0.98,84.97,1.29,98.44,76.32
"56","4335",4.5,11,-0.224205247440284,-0.488442983097618,-0.647177554705822,218,218,"Female",-0.696916065021996,1.11536198179488,0.799725550349495,-0.471184153130053,0.56,"199.29",0.85,85.19,"152.40",0.91,124.01,0.92,91.41,98.89
"57","4339",12,8,-0.421527958367024,-0.0407027374424665,-0.136106102234292,99,99,"Female",0.294750541017494,-0.319331116623713,-0.290191354897715,-0.0734657937554166,0.7,"146.13",0.93,92.59,"132.65",0.95,90.05,1.27,94.53,74.58
"58","4341",14,12,0.820063958563119,0.312982860128197,0.0733549333454761,214,214,"Male",0.494436234407907,1.12129555369339,-0.458051717899582,0.0990278718433831,0.52,"209.79",0.89,88.89,"169.95",0.91,136.6,0.87,90.63,104.62
"59","4342",16,14,0.364262401715307,0.345515485686674,0.180637472349803,114,114,"Female",-0.165638044079324,-0.587823007020352,-1.3343996712238,0.272936568242214,1.63,"59.81",0.98,98.15,"60.14",1,76.75,1.58,100,63.18
"60","4343",8,4,0.890261221201725,1.37459672903815,1.32873055384692,91,91,"Female",0.804743131478775,-0.572196517641235,-1.33803658436858,0.467190780471389,0.79,"139.78",0.8,79.63,"101.13",0.97,90.79,1.29,96.88,75.16
"61","4344",13.5,13,0.804625846245098,-0.221640817832032,-0.00060012097554697,211,211,"Female",0.776528197157832,-0.446116246571131,-1.19784157042244,0.301014403446951,0.42,"244.04",0.88,87.96,"211.19",0.91,125.3,0.94,90.63,96.41
"62","4348",8,8,0.289391020613046,-0.309513081822129,0.181859416873483,94,94,"Female",0.620101068179873,0.0464179122280188,0.454731441102915,0.741620220374731,1.31,"112.58",0.93,92.59,"70.94",0.88,111.8,1.48,88.28,59.62
"63","4350",16,11,0.190853455008708,-0.907719964377795,-0.62601371850031,224,224,"Male",-0.764850982439408,0.617335936988275,-0.00918791021365829,-0.443373745966877,0.54,"208.71",0.78,77.78,"144.35",0.92,108.12,1.09,92.19,84.47
"64","4352",1,15,1.50411941885496,1.80356089543206,1.78631270699341,106,106,"Male",-0.0371285469926332,0.884986743310834,-0.0066523903697071,0.272230837866357,0.74,"167.16",0.88,87.74,"118.57",0.98,82.26,1.39,98.44,71.03
"65","4355",14.5,15,-0.554570770664421,-1.03253522365188,-0.709675357499783,112,112,"Male",-1.10138857858689,0.277344514252278,-0.322476131775254,-0.442544996209073,0.9,"98.95",0.96,96.3,"107.28",0.98,71.78,1.51,98.44,65.02
"66","4356",10,11,-0.272541734480501,-0.0355316429748415,0.121657145623823,110,110,"Male",-0.274666355999188,1.26186400671473,1.19838542860267,0.366661353225511,2.84,"44.29",0.98,98.15,"34.56",0.99,83.29,1.59,99.22,62.4
"67","4357",6,7,0.00785662076893288,-0.37080220125197,-0.313294668350057,103,103,"Male",0.238095616674058,1.79044108830256,2.24371229129163,0.370827599099434,0.35,"294.65",0.7,70.37,"201.61",0.98,85.87,1.4,97.66,69.81
"68","4360",7,8,-0.79412652998142,-1.55878728448971,-1.30436854946777,222,222,"Male",-0.160454783345818,0.863188032439973,-0.116066985000906,-0.990139152607411,0.98,"189.54",0.91,90.74,"92.37",0.98,82.52,1.54,97.66,63.21
"69","4362",12,10,-0.579131947254778,0.0759575891423923,0.0985449483403178,107,107,"Male",-0.68006176558178,-0.160983664240477,-0.889407960997142,-0.339157881079445,0.7,"164.03",0.93,92.59,"132.97",0.98,117.52,0.97,98.44,101.61
"70","4363",15,16,0.667115368844555,0.192763036556031,0.325083097476198,108,108,"Female",0.633885277937553,1.87023421591311,2.5292610475121,0.758975587540491,2.1,"48.21",0.99,99.07,"47.22",0.98,90.14,1.4,98.44,70.46
"71","4364",14,15,-0.368523083530975,-0.596841890620121,-0.930266684610553,111,111,"Female",0.0111741508370396,-0.331303672371345,-0.978524113370432,-0.319797631352918,0.78,"142.63",0.89,88.89,"114.27",0.96,72.67,1.73,96.09,55.68
"72","4372",11,7,-0.45976035669435,-0.338089692458146,-0.790902619318792,266,266,"Male",0.544440906148058,0.36954247260028,0.605570741606899,0.289672266326241,0.55,"200.88",0.75,75,"136.23",0.94,99.01,1.33,93.75,70.75
"73","4373",14,13,-0.274951378035942,0.340621184405228,0.613641962242476,104,104,"Female",-0.69520937535999,0.082924623381372,0.736211410704704,0.446204723187402,1.83,"192.71",0.76,75.93,"41.57",0.98,147.95,0.75,97.66,130.97
"74","4374",16,14,-0.708715000878478,-0.201849741983501,-0.636135479363325,259,259,"Male",-1.16651383428029,0.891514397732113,-0.709060236619616,-0.603218343324433,1.23,"320.02",0.82,82.41,"66.83",0.94,117.27,0.97,93.75,96.66
"75","4376",11,10,0.502734000344555,0.644650397590131,0.650618935972184,127,127,"Male",0.872092147977257,1.16327116778538,0.691985674576219,0.796556540742893,1.05,"126.45",0.83,83.33,"79.40",0.96,88.02,1.46,96.09,65.64
"76","4382",7.5,5,-0.819351542845969,-0.84821396105187,-0.883684128732549,125,125,"Female",-0.221176223140274,0.786654216345844,1.14021969634286,-0.0291792493655113,4.87,"137.10",0.8,79.63,"16.34",0.77,109.63,1.28,76.56,59.81
"77","4383",5.5,6,0.383934833009639,0.890762696695098,0.96183263873048,124,124,"Male",0.265167157677766,-1.14726195149718,-0.00793191809243841,0.661284948532351,0.64,"233.79",0.81,81.48,"127.78",0.73,139.63,0.87,73.44,84.8
"78","4390",14,11,-0.455375096896891,0.0341511757729344,-0.24858237316152,117,117,"Male",0.45681421899486,-0.282532361202002,-1.04928593426463,0.261457104273016,0.54,"199.98",0.9,89.81,"167.58",0.9,114.93,1.01,89.84,88.59
"79","4394",13,13,1.10259450413856,1.03618359085878,1.24096289063476,123,123,"Female",0.865887608678388,0.489359189574947,0.199698900028553,0.792789144638659,0.49,"217.94",0.81,81.48,"165.83",0.95,107.85,1.11,94.53,85.39
"80","4400",5.5,4,-0.525019324416371,-0.264616812151549,-0.403312839910683,132,132,"Female",-0.147923814842823,-0.0126076258534686,-0.996570707053456,-0.192504145911534,1.09,"113.82",0.65,64.81,"59.50",0.97,74.56,1.93,96.88,50.19
"81","4407",12,6,0.0117640799979328,0.0641291947387905,-0.300892067622649,134,134,"Male",0.532131384522057,0.388897364288776,-0.637388544498745,0.571544880998927,0.97,"123.30",0.84,84.26,"86.83",0.98,89.99,1.26,97.66,77.53
"82","4408",12,3,-0.602962084915957,-1.09427690387173,-0.815168080387246,175,175,"Female",-0.0907452224791676,-1.46658510011278,-1.27354318296662,-0.47630058663975,0.88,"112.16",0.93,92.59,"105.80",0.96,84.45,1.82,96.09,52.74
"83","4413",15,12,-0.416557530583905,-1.33201673671896,-0.58539643185231,136,136,"Female",0.0454742204101551,-0.493103060061588,-1.13016472129604,-0.511268673173049,0.69,"142.09",0.9,89.81,"130.07",0.98,75.35,1.6,98.44,61.71
"84","4419",9,4,0.92953625280533,0.330779827398817,0.8979747877183,328,328,"Male",0.664950702864414,0.444942463516327,-1.14455514693006,0.73321425289043,1.25,"110.69",0.94,93.52,"74.98",0.94,76.73,1.56,94.14,60.51
"85","4421",7,1,0.0423243532040047,0.00205508034519739,-0.234097475304593,8,8,"Male",-0.138326903774871,-1.32697800036364,-1.08167833850137,0.422062062325627,3.23,"71.17",0.95,95.37,"29.56",0.99,82.48,1.97,99.22,50.35
"86","4423",15,14,0.157647085808488,1.25792293990327,1.04327822830355,146,146,"Male",0.382619783864656,-0.0849597819669992,-0.404558912432515,0.679249098877221,0.68,"169.79",0.77,76.85,"113.32",0.95,95.46,1.21,95.31,78.91
