"ID","Gender","Certificate (2)","Age","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","PostScore","PreScore","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG"
"4261","Female","IGCSE (British)",13.0874316939891,89.06,96.59,85.19,166.75,65.625,8.64039047511567,0.176065534032537,-0.121283000341495,0.326353183819992,0.205129429640727,0.0183781545205334,-0.440167804069749,-0.239748206125126,14.0,16.0,1.1131007598110267,1.6819588681425637,0.5729476161767109,1.122669081376767,-0.22051261855811385,0.1025350917392485
"4267","Female","IGCSE (British)",12.7499288868927,94.53,55.74,84.26,116.47,60.7142857142857,7.55683577243936,0.385723267551561,0.36407107011115,1.01234301084684,-0.271386654217625,-0.107034365071947,0.92249273054714,0.582752147064261,11.0,10.0,-0.7325329213282209,0.5023783146507868,0.09197235185867803,-0.04606075160625204,0.46607017084648467,0.6882070404789951
"4268","Female","IGCSE (British)",13.2568306010929,99.22,76.51,87.04,69.68,68.75,6.06637922390454,-0.570475269803927,0.30450718403921,-0.329695831102602,-0.702247492434216,-0.577262564718582,0.453791220021207,0.205033204790062,13.0,11.5,0.20587127835995966,-0.5953260230158847,-0.5696211335606083,-0.3196919594055111,0.027187286697562346,-0.012594323531695983
"4269","Female","IGCSE (British)",13.7115278089677,95.31,76.05,95.37,75.9,42.3076923076923,5.4255175091763,-0.147575059620635,1.14476139028705,0.636835171689155,-0.282324329101838,0.127054578123067,-0.586682928885474,-0.415417086410192,6.5,7.5,0.18508813286855041,-0.4494033690238629,-0.8540909733124855,-0.37280206982259934,-0.2916818123908663,0.8907982809881025
"4271","Male","IGCSE (British)",14.2896174863388,97.66,80.18,84.26,97.17,71.875,7.69353382478871,0.484153490845276,-0.0971273311130676,-0.216947908436499,0.371393922000509,-0.702603312246667,0.330127974642185,0.292140298246857,15.0,13.0,0.3716846347805482,0.04959580306782545,0.15265076679988454,0.1913104015494194,-0.02677834645254164,-0.1570376197747833
"4273","Male","IGCSE (British)",12.9718466951119,93.75,46.58,98.15,57.02,65.625,7.80228272500297,0.94301989218959,-0.087124434004793,-0.0329001389144511,0.37683876820618,0.312338427523404,0.557073302853732,0.564221077730742,13.0,14.0,-1.146388601113668,-0.8923325824272987,0.20092293145909165,-0.612599417360625,0.477877602702626,-0.06001228645962205
"4275","Male","IGCSE (British)",13.0437158469945,84.38,112.73,5.56,17.34,65.5172413793103,8.58205850539053,0.582874752149278,0.479084136989606,0.05768437802715,0.299437983172654,0.532625300219718,0.794560435419203,0.681346188983145,13.0,14.0,1.8423180820530696,-1.8232346580548586,0.5470548444620539,0.18871275615342162,0.6695106415406886,0.268384257508378
"4276","Male","IGCSE (British)",12.475956284153,93.65,74.13,91.67,159.61,59.375,7.8827569822448,0.408364320370693,-1.17550045869981,-0.938321616351801,0.4585055216793,-0.15038301547653,0.661109736288316,0.330243855244058,13.0,15.0,0.09834109081745228,1.5144527990906291,0.23664436485980972,0.6164794182559638,0.28032352535194804,-1.0569110375258055
"4277","Male","IGCSE (British)",13.0573770491803,96.88,68.56,90.74,135.18,71.875,1.55240059236555,-0.228216848267421,-0.636144814481965,-0.458062978235864,-0.433337782741008,-0.0926006478031798,-0.862251046371348,-0.551242284983916,12.0,8.5,-0.15331569263286832,0.9413192883148909,-2.5733151418722446,-0.595103848730074,-0.5020313263861479,-0.5471038963589145
"4278","Male","American Diploma",13.5909499214013,97.66,119.12,94.44,79.3,60.0,8.31953164118168,-0.650190622623976,-0.931082992168062,-0.880028450155217,-1.0513925895244,-1.3466594583496,-0.998670509081626,-1.20650716890446,11.0,11.5,2.1310230813793805,-0.36963857423722746,0.43052272329497315,0.730635743479042,-1.1839457121118953,-0.9055557211616395
